Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19
TUBA1B,PRDX1,NEAT1,HIST1H4C,UBE2S,PIF1,HBZ,TMSB10,RAN,TMSB4X,LST1,HNRNPH1,ACTG1,AVP,HIST1H4C,FTL,EIF1,LST1,FEV,HBZ
PTTG1,NME1,MALAT1,RPS19,CENPF,TOP2A,ALAS2,PNMT,PRDX1,PFN1,AIF1,SET,KRT18,TMEM54,YBX1,CD52,ZFAS1,TYROBP,CRYBA2,HBG2
MT-CYB,PTMA,MT-CO1,RPLP1,AURKA,HIST1H4C,SLC25A37,KLF1,RANBP1,AIF1,CEBPE,CTNNB1,UFD1L,GSTP1,MT-ND1,SET,C6orf48,CFD,SH3BGRL3,GYPB
RPS26,NPM1,EEF1A1,MT-CO2,NUCKS1,TUBB,HBG2,GAL,NPM1,GMFG,LMO4,YBX1,EGR1,RP11-717F1.1,MT-CO3,ATOX1,ATF4,AIF1,HBG2,HBG1
H2AFZ,CACYBP,GYPB,KIAA0101,CKS2,CENPA,GYPB,HBZ,PTMA,GPSM3,VIM,RPS8,DDIT3,FTL,MT-CO2,TXN,PHGDH,RP11-301G19.1,FTH1,HBA1
MT-ND4,LDHB,FTH1,RPS28,PLK1,UBE2S,HBA1,HBG2,CACYBP,IFITM2,TMSB4X,EIF2S3,UBB,BST2,PPP1R14B,MDK,DDIT4,TMSB4X,CCND3,FTH1
HSPE1,NDUFS5,RPS4X,RPS12,CDC20,TUBA1C,FTH1,ANXA2,HSP90AA1,SH3BGRL3,MS4A3,LRRC75A,SAT1,RFK,UBAC1,PRKCB,VIM,CSF3R,RGS10,GYPA
MT-CO3,PSMA4,RPL3,SVIP,CKS1B,HN1,HIST1H4C,HBA1,NME1,ARHGDIB,MSRB1,MT-ND5,IER2,TBX2-AS1,SIVA1,SHISA8,DDIT3,VIM,H3F3A,RP11-717F1.1
PHF19,ATP5G3,C9orf16,RPS29,CALM2,CENPF,COL18A1,HBG1,PSMB1,S100A11,CSF3R,PPP1CB,CLIC1,APOE,MT-ND4,SERPINB9,S100A11,MSRB1,CHCHD2,FTL
TXNL4A,LDHA,SEPP1,RPS14,TOP2A,KPNA2,HBG1,EMP3,PSMA4,LIMD2,PYCARD,MT-CO1,MALAT1,RPS8,DDX1,PABPC1,SARS,PNRC1,FCER1G,MYL4
